actual_value	predicted_value
-1.4836505200000172	-1.4523525
-1.6082296800000133	-1.5270346
-0.065371230000002	-0.29424563
-0.1659387200000051	0.040247895
-0.2571893400000018	-0.11772535
-0.3009686800000022	-0.32116362
-0.16416111999997973	-0.08742796
-0.8548695700000035	-0.7486249
-0.317088189999998	-0.36574233
-0.27825872000000196	-0.27051818
-0.2945810300000087	-0.2992404
-0.8031397700000067	-0.8554077
-0.09343903999999803	-0.0036622472
-0.19550066000001287	-0.13658631
-1.7155198299999963	-1.3871275
0.1310339900000006	0.062972516
0.4427233300000015	0.10678277
-1.7007085600000007	-1.7737628
0.03452605000001974	0.020042308
-0.39349571999999533	-0.47589195
-2.2034873000000257	-1.9811782
-0.730491280000015	-0.7680521
-0.12282774000001062	-1.9139085
-1.405728330000036	-1.4543221
-0.592153829999992	-0.5300421
-0.1534775500000105	-0.15192108
-1.1984337300000245	-1.0729605
-1.9389747100000019	-1.478763
-0.3693791000000015	-0.005099289
-0.9621493400000158	-0.8657907
-1.58150563999998	-1.6057428
-0.525162259999993	-0.55875444
-0.27749869000000693	-0.39906588
-0.4864851299999966	-0.63087934
-0.07429885999999009	-0.32599476
-0.05005102000000328	-0.085277595
-2.0211754999999894	-1.125303
-0.6660513600000026	-0.59580666
-0.9253366399999887	-1.2454329
-0.44759610999999744	-0.33877346
-1.4178484399999913	-1.5319593
-0.15403731000000498	-0.09309231
-0.23431995000000505	-0.27650356
-0.6830313799999939	-0.4438712
-0.08598632000000173	-0.16054532
-1.796329960000028	-1.5057749
-0.15269503000000206	0.020463921
-0.07583797000000025	-0.08204961
-2.219964810000013	-2.3212774
-1.5492112900000077	-1.5116873
-0.1192965800000021	-0.256232
-0.27767676999999047	-0.04462333
-0.11485532000000198	-0.13685067
-0.1640870300000099	-0.12785472
-1.42447968000001	-1.2884643
-1.079702899999992	-0.9732517
-0.8162843699999964	-0.5126481
-0.5912597399999893	-0.42600355
-0.10933218999999461	0.0045134425
-1.177778629999997	-0.9598775
-0.2756044400000004	-0.32829598
-1.128354050000004	-1.0510399
-0.08223704000001497	-0.32854673
-1.252198969999986	-1.2582384
-1.573757989999999	-1.5017356
-1.3329858100000163	-1.3325613
-0.07655946000001812	-0.061526574
-0.33207846999999013	-0.32804486
0.013298490000019925	-0.82001674
0.2680071499999972	0.050070144
-1.5562047000000145	-1.4205151
-0.1815726500000121	-0.01945319
-2.214541940000009	-2.210812
-1.326107900000002	-1.3949445
-1.7895041599999981	-1.4841108
-1.1861821499999987	-1.4830819
-1.8473801899999867	-1.8372225
-0.2132703299999985	-0.12903205
-0.02213879000000496	-0.08599769
-0.28235624999999764	-0.30216372
-1.2249874200000104	-1.40328
-0.3774513399999986	-0.78756773
-0.01227288999998244	-0.14853957
-0.43212060000000996	-0.54874605
-0.0843339600000288	-0.099765554
-0.003697000000007833	-0.011735931
-2.0123764699999835	-1.6736959
-0.7390577499999917	-0.5892943
-0.1812426800000022	-0.17525929
-2.1934364900000016	-2.1303456
-0.545001229999988	-0.47258595
-0.1325224099999982	-0.066852584
-1.4922128200000113	-1.61353
-1.0820150199999912	-1.8948698
-0.012002950000001178	-0.008352093
-0.03399595000001021	-0.16114426
-0.010916460000009565	-0.047904518
-0.7144455499999989	-0.10360132
-0.7107523299999965	-0.5122143
-0.00673830999999403	-0.091935754
-0.5481733799999997	-0.5198505
-0.0461682000000021	-0.029854279
-0.040025509999983555	-0.14727344
-0.6637981800000059	-0.54023975
-0.3424340499999996	-0.36720943
-0.6035281700000237	-0.4196096
-1.646439209999988	-1.5543723
-0.8531886000000011	-0.8210639
-0.36309158000000785	-0.2909498
-0.34526572000000577	-0.39036694
-2.2865342999999907	-2.095345
-0.6723295299999972	-0.5187936
-0.16211061000000448	-0.0844607
-0.9970338000000023	-0.99354446
-1.0410627200000047	-1.0775836
-1.2247609199999854	-1.0470077
-0.33039825000000356	-0.40017802
-1.2237444499999892	-1.1637495
-0.5290544199999996	-0.43098208
-0.5334081100000017	-0.5962924
-0.8226999899999807	-0.776543
-0.10091930999998588	-0.24935392
-0.024883359999995136	-0.07316572
0.1122118099999998	0.06797694
-0.9479289499999961	-1.8971801
